"job_id","job_title","salary_year_avg","job_posted_date","company_name","skills"
648429,"Principal Economist / Scientist","387460.0","2023-08-23 08:03:55","Roblox","sql"
648429,"Principal Economist / Scientist","387460.0","2023-08-23 08:03:55","Roblox","python"
648429,"Principal Economist / Scientist","387460.0","2023-08-23 08:03:55","Roblox","r"
648429,"Principal Economist / Scientist","387460.0","2023-08-23 08:03:55","Roblox","go"
648429,"Principal Economist / Scientist","387460.0","2023-08-23 08:03:55","Roblox","spark"
648429,"Principal Economist / Scientist","387460.0","2023-08-23 08:03:55","Roblox","airflow"
648429,"Principal Economist / Scientist","387460.0","2023-08-23 08:03:55","Roblox","hadoop"
502610,"Lead Business Intelligence Engineer","220000.0","2023-08-29 18:26:36","Noom","sql"
502610,"Lead Business Intelligence Engineer","220000.0","2023-08-29 18:26:36","Noom","python"
502610,"Lead Business Intelligence Engineer","220000.0","2023-08-29 18:26:36","Noom","excel"
502610,"Lead Business Intelligence Engineer","220000.0","2023-08-29 18:26:36","Noom","tableau"
502610,"Lead Business Intelligence Engineer","220000.0","2023-08-29 18:26:36","Noom","looker"
502610,"Lead Business Intelligence Engineer","220000.0","2023-08-29 18:26:36","Noom","chef"
112859,"Manager II, Applied Science - Marketplace Dynamics","214500.0","2023-12-18 08:02:37","Uber","python"
393753,"Reference Data Business Analyst/Product Manager","200000.0","2023-05-30 22:00:00","Selby Jennings","sql"
393753,"Reference Data Business Analyst/Product Manager","200000.0","2023-05-30 22:00:00","Selby Jennings","python"
393753,"Reference Data Business Analyst/Product Manager","200000.0","2023-05-30 22:00:00","Selby Jennings","gdpr"
393753,"Reference Data Business Analyst/Product Manager","200000.0","2023-05-30 22:00:00","Selby Jennings","excel"
393753,"Reference Data Business Analyst/Product Manager","200000.0","2023-05-30 22:00:00","Selby Jennings","tableau"
393753,"Reference Data Business Analyst/Product Manager","200000.0","2023-05-30 22:00:00","Selby Jennings","power bi"
898755,"Senior Business Intelligence Engineer","190500.0","2023-07-18 10:03:38","Block","go"
898755,"Senior Business Intelligence Engineer","190500.0","2023-07-18 10:03:38","Block","c"
898755,"Senior Business Intelligence Engineer","190500.0","2023-07-18 10:03:38","Block","mysql"
898755,"Senior Business Intelligence Engineer","190500.0","2023-07-18 10:03:38","Block","bigquery"
898755,"Senior Business Intelligence Engineer","190500.0","2023-07-18 10:03:38","Block","snowflake"
898755,"Senior Business Intelligence Engineer","190500.0","2023-07-18 10:03:38","Block","looker"
17458,"Senior Economy Designer","190000.0","2023-06-21 18:11:35","Harnham","sql"
17458,"Senior Economy Designer","190000.0","2023-06-21 18:11:35","Harnham","python"
17458,"Senior Economy Designer","190000.0","2023-06-21 18:11:35","Harnham","r"
20066,"Business Intelligence Engineer, Sponsored TV","185000.0","2023-12-12 16:40:37","Amazon","sql"
20066,"Business Intelligence Engineer, Sponsored TV","185000.0","2023-12-12 16:40:37","Amazon","python"
20066,"Business Intelligence Engineer, Sponsored TV","185000.0","2023-12-12 16:40:37","Amazon","aws"
516397,"Business Intelligence Analyst Lead","175000.0","2023-02-05 12:27:05","USAA","sql"
516397,"Business Intelligence Analyst Lead","175000.0","2023-02-05 12:27:05","USAA","nosql"
516397,"Business Intelligence Analyst Lead","175000.0","2023-02-05 12:27:05","USAA","snowflake"
516397,"Business Intelligence Analyst Lead","175000.0","2023-02-05 12:27:05","USAA","hadoop"
516397,"Business Intelligence Analyst Lead","175000.0","2023-02-05 12:27:05","USAA","phoenix"
516397,"Business Intelligence Analyst Lead","175000.0","2023-02-05 12:27:05","USAA","tableau"
937271,"Lead Analytic Consultant","172500.0","2023-01-07 08:01:17","CVS Health","sql"
937271,"Lead Analytic Consultant","172500.0","2023-01-07 08:01:17","CVS Health","azure"
937271,"Lead Analytic Consultant","172500.0","2023-01-07 08:01:17","CVS Health","snowflake"
937271,"Lead Analytic Consultant","172500.0","2023-01-07 08:01:17","CVS Health","tableau"
937271,"Lead Analytic Consultant","172500.0","2023-01-07 08:01:17","CVS Health","microstrategy"
416185,"Staff Revenue Operations Analyst","170500.0","2023-12-21 09:50:43","Gladly","excel"
1086284,"Business Strategy Analyst Lead (San Antonio, TX)","167755.0","2023-02-14 11:01:08","USAA","python"
1086284,"Business Strategy Analyst Lead (San Antonio, TX)","167755.0","2023-02-14 11:01:08","USAA","r"
1086284,"Business Strategy Analyst Lead (San Antonio, TX)","167755.0","2023-02-14 11:01:08","USAA","phoenix"
1086284,"Business Strategy Analyst Lead (San Antonio, TX)","167755.0","2023-02-14 11:01:08","USAA","excel"
1086284,"Business Strategy Analyst Lead (San Antonio, TX)","167755.0","2023-02-14 11:01:08","USAA","tableau"
1035043,"Business Strategy Analyst Lead-Marketing & Offer Strategy (San...","167755.0","2023-02-23 08:02:02","USAA","sql"
1035043,"Business Strategy Analyst Lead-Marketing & Offer Strategy (San...","167755.0","2023-02-23 08:02:02","USAA","python"
1035043,"Business Strategy Analyst Lead-Marketing & Offer Strategy (San...","167755.0","2023-02-23 08:02:02","USAA","r"
1035043,"Business Strategy Analyst Lead-Marketing & Offer Strategy (San...","167755.0","2023-02-23 08:02:02","USAA","snowflake"
1035043,"Business Strategy Analyst Lead-Marketing & Offer Strategy (San...","167755.0","2023-02-23 08:02:02","USAA","phoenix"
1035043,"Business Strategy Analyst Lead-Marketing & Offer Strategy (San...","167755.0","2023-02-23 08:02:02","USAA","excel"
1035043,"Business Strategy Analyst Lead-Marketing & Offer Strategy (San...","167755.0","2023-02-23 08:02:02","USAA","tableau"
443871,"Credit Risk Decision Scientist - Afterpay","165000.0","2023-04-05 19:01:14","Block","sql"
443871,"Credit Risk Decision Scientist - Afterpay","165000.0","2023-04-05 19:01:14","Block","python"
443871,"Credit Risk Decision Scientist - Afterpay","165000.0","2023-04-05 19:01:14","Block","go"
443871,"Credit Risk Decision Scientist - Afterpay","165000.0","2023-04-05 19:01:14","Block","c"
443871,"Credit Risk Decision Scientist - Afterpay","165000.0","2023-04-05 19:01:14","Block","tableau"
443871,"Credit Risk Decision Scientist - Afterpay","165000.0","2023-04-05 19:01:14","Block","looker"
1099753,"REMOTE - Business Intelligence Analyst (Leadership Role) - GCP","162500.0","2023-10-11 12:01:45","CyberCoders","sql"
1099753,"REMOTE - Business Intelligence Analyst (Leadership Role) - GCP","162500.0","2023-10-11 12:01:45","CyberCoders","python"
1099753,"REMOTE - Business Intelligence Analyst (Leadership Role) - GCP","162500.0","2023-10-11 12:01:45","CyberCoders","bigquery"
1099753,"REMOTE - Business Intelligence Analyst (Leadership Role) - GCP","162500.0","2023-10-11 12:01:45","CyberCoders","gcp"
1099753,"REMOTE - Business Intelligence Analyst (Leadership Role) - GCP","162500.0","2023-10-11 12:01:45","CyberCoders","looker"
1099753,"REMOTE - Business Intelligence Analyst (Leadership Role) - GCP","162500.0","2023-10-11 12:01:45","CyberCoders","word"
1099753,"REMOTE - Business Intelligence Analyst (Leadership Role) - GCP","162500.0","2023-10-11 12:01:45","CyberCoders","sheets"
828774,"Business Intelligence Analyst Lead – Property & Casualty Insurance...","161335.0","2023-03-15 14:01:43","USAA","sql"
828774,"Business Intelligence Analyst Lead – Property & Casualty Insurance...","161335.0","2023-03-15 14:01:43","USAA","nosql"
828774,"Business Intelligence Analyst Lead – Property & Casualty Insurance...","161335.0","2023-03-15 14:01:43","USAA","sas"
828774,"Business Intelligence Analyst Lead – Property & Casualty Insurance...","161335.0","2023-03-15 14:01:43","USAA","snowflake"
828774,"Business Intelligence Analyst Lead – Property & Casualty Insurance...","161335.0","2023-03-15 14:01:43","USAA","hadoop"
828774,"Business Intelligence Analyst Lead – Property & Casualty Insurance...","161335.0","2023-03-15 14:01:43","USAA","phoenix"
828774,"Business Intelligence Analyst Lead – Property & Casualty Insurance...","161335.0","2023-03-15 14:01:43","USAA","tableau"
828774,"Business Intelligence Analyst Lead – Property & Casualty Insurance...","161335.0","2023-03-15 14:01:43","USAA","sas"
1560550,"Business Intelligence Analyst","160000.0","2023-08-31 09:01:26","Nextracker Inc.","word"
1583366,"Decision Scientist, Risk","157500.0","2023-05-11 11:05:47","Block","python"
1583366,"Decision Scientist, Risk","157500.0","2023-05-11 11:05:47","Block","go"
1583366,"Decision Scientist, Risk","157500.0","2023-05-11 11:05:47","Block","c"
1583366,"Decision Scientist, Risk","157500.0","2023-05-11 11:05:47","Block","snowflake"
1583366,"Decision Scientist, Risk","157500.0","2023-05-11 11:05:47","Block","pandas"
1583366,"Decision Scientist, Risk","157500.0","2023-05-11 11:05:47","Block","numpy"
1583366,"Decision Scientist, Risk","157500.0","2023-05-11 11:05:47","Block","tableau"
1680311,"Business Intelligence Analyst IV","157000.0","2023-07-12 20:00:54","Applied Materials","sql"
1680311,"Business Intelligence Analyst IV","157000.0","2023-07-12 20:00:54","Applied Materials","python"
1680311,"Business Intelligence Analyst IV","157000.0","2023-07-12 20:00:54","Applied Materials","r"
1680311,"Business Intelligence Analyst IV","157000.0","2023-07-12 20:00:54","Applied Materials","excel"
1680311,"Business Intelligence Analyst IV","157000.0","2023-07-12 20:00:54","Applied Materials","power bi"
904706,"Operations Analyst III","156000.0","2023-10-27 12:02:49","Walmart Global Tech","sql"
904706,"Operations Analyst III","156000.0","2023-10-27 12:02:49","Walmart Global Tech","python"
904706,"Operations Analyst III","156000.0","2023-10-27 12:02:49","Walmart Global Tech","azure"
